mode: count
wallet-transfer/handler.go:12.44,12.77 1 6
wallet-transfer/handler.go:14.45,18.2 3 6
wallet-transfer/handler.go:27.78,28.33 1 5
wallet-transfer/handler.go:28.33,31.3 2 1
wallet-transfer/handler.go:32.2,33.61 2 4
wallet-transfer/handler.go:33.61,36.3 2 1
wallet-transfer/handler.go:38.2,39.16 2 3
wallet-transfer/handler.go:39.16,40.34 1 1
wallet-transfer/handler.go:40.34,43.4 2 1
wallet-transfer/handler.go:44.3,45.9 2 0
wallet-transfer/handler.go:48.2,50.36 3 2
wallet-transfer/main.go:15.13,17.16 2 0
wallet-transfer/main.go:17.16,19.3 1 0
wallet-transfer/main.go:20.2,22.36 2 0
wallet-transfer/main.go:22.36,24.3 1 0
wallet-transfer/main.go:25.2,30.53 3 0
wallet-transfer/main.go:30.53,31.45 1 0
wallet-transfer/main.go:31.45,32.14 1 0
wallet-transfer/main.go:32.14,35.5 2 0
wallet-transfer/main.go:39.2,39.76 1 0
wallet-transfer/main.go:39.76,41.3 1 0
wallet-transfer/main.go:43.2,43.16 1 0
wallet-transfer/main.go:47.60,59.2 5 1
wallet-transfer/migrations.go:8.32,45.26 2 12
wallet-transfer/migrations.go:45.26,46.39 1 60
wallet-transfer/migrations.go:46.39,48.4 1 0
wallet-transfer/migrations.go:52.2,53.12 2 12
wallet-transfer/repository.go:14.44,18.2 3 12
wallet-transfer/repository.go:20.67,23.2 2 12
wallet-transfer/repository.go:25.65,28.26 3 8
wallet-transfer/repository.go:28.26,30.3 1 0
wallet-transfer/repository.go:31.2,31.15 1 8
wallet-transfer/repository.go:35.85,37.16 2 15
wallet-transfer/repository.go:37.16,39.3 1 0
wallet-transfer/repository.go:40.2,41.12 2 15
wallet-transfer/repository.go:41.12,43.3 1 9
wallet-transfer/repository.go:44.2,44.12 1 6
wallet-transfer/repository.go:47.78,50.2 2 6
wallet-transfer/repository.go:52.67,56.2 2 15
wallet-transfer/repository.go:58.86,61.2 2 15
wallet-transfer/repository.go:63.73,67.2 2 12
wallet-transfer/repository.go:69.85,72.2 2 16
wallet-transfer/repository.go:74.73,78.16 4 22
wallet-transfer/repository.go:78.16,80.3 1 15
wallet-transfer/repository.go:81.2,81.39 1 7
wallet-transfer/repository.go:84.84,87.2 2 6
wallet-transfer/service.go:15.44,15.75 1 12
wallet-transfer/service.go:29.26,31.2 1 25
wallet-transfer/service.go:34.94,40.30 1 19
wallet-transfer/service.go:40.30,42.42 2 19
wallet-transfer/service.go:42.42,44.4 1 3
wallet-transfer/service.go:48.2,49.16 2 16
wallet-transfer/service.go:49.16,51.3 1 0
wallet-transfer/service.go:52.2,54.30 2 16
wallet-transfer/service.go:54.30,55.89 1 16
wallet-transfer/service.go:55.89,60.29 3 1
wallet-transfer/service.go:60.29,62.44 2 3
wallet-transfer/service.go:62.44,64.6 1 1
wallet-transfer/service.go:65.5,65.21 1 2
wallet-transfer/service.go:67.4,67.70 1 0
wallet-transfer/service.go:71.2,73.53 3 15
wallet-transfer/service.go:73.53,75.3 1 0
wallet-transfer/service.go:78.2,78.79 1 15
wallet-transfer/service.go:78.79,82.3 3 9
wallet-transfer/service.go:84.2,84.70 1 6
wallet-transfer/service.go:84.70,88.3 3 0
wallet-transfer/service.go:91.2,93.60 3 6
wallet-transfer/service.go:93.60,97.3 3 0
wallet-transfer/service.go:98.2,98.61 1 6
wallet-transfer/service.go:98.61,102.3 3 0
wallet-transfer/service.go:104.2,104.80 1 6
wallet-transfer/service.go:104.80,107.3 2 0
wallet-transfer/service.go:109.2,109.30 1 6
wallet-transfer/service.go:109.30,110.88 1 6
wallet-transfer/service.go:110.88,113.4 2 0
wallet-transfer/service.go:116.2,116.36 1 6
wallet-transfer/service.go:116.36,118.3 1 0
wallet-transfer/service.go:120.2,120.72 1 6
